ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,refId,sfxVariationId,weight,behaviorId,basicPrice,sellValue,sortId,qwcId,equipModelId,iconId,shopLv,trophySGradeId,trophySeqId,equipModelCategory,equipModelGender,accessoryCategory,refCategory,spEffectCategory,sortGroupId,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,isDeposit,isEquipOutBrake,disableMultiDropShare,isDiscard,isDrop,showLogCondType,showDialogCondType,rarity,pad2,saleValue,accessoryGroup,pad3,compTrophySedId,residentSpEffectId1,residentSpEffectId2,residentSpEffectId3,residentSpEffectId4,pad1,Caption
1000,红琥珀链坠,0,0,[0|0|0],310000,-1,0.3,0,0,100,400000,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1000,0,-1,0,0,0,0,[0|0|0|0],镶有红色琥珀的链坠。\n能提升血量的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1001,红琥珀链坠＋１,1,0,[0|0|0],310010,-1,0.3,0,0,500,400010,0,0,18001,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1000,0,-1,0,0,0,0,[0|0|0|0],镶有红色琥珀的链坠。\n能大幅提升血量的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1002,红琥珀链坠＋２,1,0,[0|0|0],310020,-1,0.3,0,0,1000,400020,0,0,18002,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1000,0,-1,0,0,0,0,[0|0|0|0],镶有红色琥珀的链坠。\n能更大幅提升血量的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1010,蓝琥珀链坠,1,0,[0|0|0],310100,-1,0.3,0,0,100,400050,0,0,18010,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1010,0,-1,0,0,0,0,[0|0|0|0],镶有蓝色琥珀的链坠。\n能提升专注值的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1011,蓝琥珀链坠＋１,1,0,[0|0|0],310110,-1,0.3,0,0,500,400060,0,0,18011,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1010,0,-1,0,0,0,0,[0|0|0|0],镶有蓝色琥珀的链坠。\n能大幅提升专注值的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1012,蓝琥珀链坠＋２,1,0,[0|0|0],310120,-1,0.3,0,0,1000,400070,0,0,18012,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1010,0,-1,0,0,0,0,[0|0|0|0],镶有蓝色琥珀的链坠。\n能更大幅提升专注值的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1020,绿琥珀链坠,0,0,[0|0|0],310200,-1,0.3,0,0,100,400090,0,0,18020,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1020,0,-1,0,0,0,0,[0|0|0|0],镶有绿色琥珀的链坠。\n能提升精力的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1021,绿琥珀链坠＋１,1,0,[0|0|0],310210,-1,0.3,0,0,500,400100,0,0,18021,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1020,0,-1,0,0,0,0,[0|0|0|0],镶有绿色琥珀的链坠。\n能大幅提升精力的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1022,绿琥珀链坠＋２,1,0,[0|0|0],310220,-1,0.3,0,0,1000,400110,0,0,18022,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1020,0,-1,0,0,0,0,[0|0|0|0],镶有绿色琥珀的链坠。\n能更大幅提升精力的上限。\n\n琥珀为黄金树的古老露滴，\n在“初始艾尔登之王”葛孚雷的时代\n被视为特殊的宝石。\n\n生命的原始力量蕴藏其中。
1030,众武护符,0,0,[0|0|0],310300,-1,1.5,0,0,100,400130,0,0,18030,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,1030,0,-1,0,0,0,0,[0|0|0|0],众多武器聚集成块的铁制护符。\n能提升装备重量的上限。\n\n从复仇英雄的知名武器──\n异形大剑发想、制成的护符。
