clip,rawId,clipFound,clipLength,hitboxStart,hitboxEnd,hitboxCount,invokeAttackCount,recoveryStart,recoveryEnd,hasPoise,hasWeaponTrail,hasRootMotion,inputMarkers,eventDuration,label
a023_030000,30000,1,5.25,0.5,2.167,4,25,2.167,5.25,0,1,1,9,3.033,
a023_030010,30010,1,10.333,0.433,1.5,2,25,1.5,10.333,0,1,1,7,2.5,
a023_030020,30020,1,5.417,0.433,1.467,2,25,1.467,5.417,0,1,1,8,2.7,
a023_030030,30030,1,5.833,0.433,1.3,2,25,1.3,5.833,0,1,1,7,2.5,
a023_030040,30040,1,7,0.633,1.933,2,24,1.933,7,0,1,1,9,3.1,
a023_030080,30080,1,1.25,0.167,0.267,1,2,0.267,1.25,0,0,0,2,0.367,
a023_030091,30091,1,1.25,0.267,0.367,1,2,0.367,1.25,0,0,0,2,0.367,
a023_030200,30200,1,6.25,2,2.1,1,22,2.1,6.25,0,1,1,15,2.8,
a023_030210,30210,1,5.833,1.967,2.067,1,23,2.067,5.833,1,0,1,14,3.4,
a023_030300,30300,1,4.417,0.067,1.333,3,24,1.333,4.417,0,1,1,10,2.567,
a023_030310,30310,0,0,0.067,1.333,3,24,1.333,2.567,0,1,1,10,2.567,
a023_030400,30400,1,6.417,1.667,1.767,1,22,1.767,6.417,0,1,1,10,3,
a023_030500,30500,1,7.417,1.333,2.733,3,28,2.733,7.417,0,1,1,12,3.967,
a023_030505,30505,1,4.917,1.367,1.667,2,25,1.667,4.917,0,1,1,9,2.5,
a023_030510,30510,1,8,0.233,2.933,4,26,2.933,8,0,1,1,14,3.7,
a023_030515,30515,1,4.5,1.2,1.767,2,23,1.767,4.5,0,1,1,8,2.367,
a023_030600,30600,0,0,3.567,3.667,1,34,3.667,4.2,0,1,1,28,4.2,
a023_030601,30601,0,0,0.333,0.6,2,1,0.6,1.3,0,0,0,4,1.3,
a023_030605,30605,0,0,2.5,2.6,1,34,2.6,3.133,0,1,1,19,3.133,
a023_030610,30610,0,0,2.733,2.833,1,27,2.833,3.567,1,1,1,23,3.567,
a023_030615,30615,0,0,1.9,2,1,26,2,2.767,1,1,1,18,2.767,
a023_030620,30620,0,0,0.2,3.8,4,25,3.8,4.2,1,1,1,26,4.2,
a023_030621,30621,0,0,0.133,0.433,2,1,0.433,1.3,0,0,0,4,1.3,
a023_030625,30625,0,0,0.533,1.567,2,24,1.567,2.3,1,1,1,14,2.3,
a023_030630,30630,0,0,1.533,3.933,4,24,3.933,3.933,1,1,1,23,3.933,
a023_030635,30635,0,0,0.767,2.233,2,23,2.233,2.3,1,1,1,15,2.3,
a023_030700,30700,1,5.833,2.033,2.133,1,22,2.133,5.833,0,1,1,14,2.767,
a023_031070,31070,1,5,1.167,1.267,1,23,1.267,5,0,1,1,9,2.7,
a023_031071,31071,1,3.75,0.7,1.033,2,18,1.033,3.75,0,0,1,6,2.233,
a023_031072,31072,1,5.417,1.4,1.5,1,18,1.5,5.417,0,0,1,6,2.767,
a023_031081,31081,1,2.5,0.5,0.8,2,19,0.8,2.5,0,0,1,6,2.2,
a023_031082,31082,1,3.75,0.867,1.4,2,19,1.4,3.75,0,0,1,6,2.767,
